Address,Full_Address,Total_Staked,Status,Time_Score,Holding_Days,First_Stake,Stake_Count,Unstake_Count,Is_Active,Total_Transactions,Rank,Alias
0xa4ee**f0a1a2**e4c9b2,0xa4eef0a1a26fbf1c1a73105284749bec3fe4c9b2,35861.478,VIRGEN,81557.05,2.3,2025-05-30 22:24,1,0,True,1,142,VIRGEN#0142
0xf84e**72797f**10753a,0xf84e72797f9d0a9382c26f5ce367b880d410753a,35428.4769,VIRGEN,88656.89,2.5,2025-05-30 16:55,1,0,True,1,143,VIRGEN#0143
0x0911**8b9530**e11783,0x09118b9530845c8c69b60d75dc9739f199e11783,35355.0,VIRGEN,93725.53,2.7,2025-05-30 13:21,1,0,True,1,144,VIRGEN#0144
0x32f0**385edf**4ca6cf,0x32f0385edf504d5e3167f2c78add0ebcf94ca6cf,34998.4403,VIRGEN,109306.53,3.1,2025-05-30 02:01,1,0,True,1,145,VIRGEN#0145
0x0bcf**798839**a13cab,0x0bcf798839803f08d88a6cf34d569caa87a13cab,34689.9751,VIRGEN,17875.37,0.5,2025-06-01 16:37,1,0,True,1,146,VIRGEN#0146
0xbdd2**982183**01040e,0xbdd2982183b7079b7faa4eb3f98bb58f8f01040e,33883.4487,VIRGEN,97346.29,2.9,2025-05-30 08:02,1,0,True,1,147,VIRGEN#0147
0x450c**fcb748**8d0244,0x450cfcb7481b9c50fa8382ca38931d443a8d0244,33699.2884,VIRGEN,86506.15,2.6,2025-05-30 15:22,1,0,True,1,148,VIRGEN#0148
0xf287**abf489**0b58d0,0xf287abf489a794fa8dd3e9f1ea435667870b58d0,33385.2091,OG,183758.91,5.5,2025-05-27 16:53,1,0,True,1,149,VIRGEN#0149
0x3b44**5a4b2d**83a77b,0x3b445a4b2df6d278a125ed86eda9ddbeb183a77b,33157.4917,VIRGEN,36530.42,1.1,2025-06-01 02:32,1,0,True,1,150,VIRGEN#0150
0x51e7**780328**3b8e44,0x51e7780328bf384ec7ce5fa580a2c495d03b8e44,32942.3827,OG,170756.31,5.2,2025-05-28 00:34,1,0,True,1,151,VIRGEN#0151
0x85d1**b7f66f**4a4b4c,0x85d1b7f66f50818b67a24bfd4406256bd54a4b4c,32570.7025,OG,169678.66,5.2,2025-05-27 23:57,1,0,True,1,152,VIRGEN#0152
0x7ed9**73f15c**630297,0x7ed973f15cef548e50c6334510c4dd9df7630297,32570.7025,Jeeted,176966.35,5.4,2025-05-27 18:35,1,2,False,3,153,VIRGEN#0153
0x3e97**b8da1e**0df636,0x3e97b8da1e88c8a318069a8b35dff8a7b20df636,32570.7025,VIRGEN,49815.46,1.5,2025-05-31 16:16,1,0,True,1,154,VIRGEN#0154
0x3002**536a20**73766a,0x3002536a20430ba6faadfd5687916785c673766a,30443.3341,VIRGEN,133348.5,4.4,2025-05-28 19:51,1,0,True,1,155,VIRGEN#0155
0x6185**f9b949**65d852,0x6185f9b949d89a903f805582399468f6a965d852,30436.2997,VIRGEN,33468.3,1.1,2025-06-01 02:35,1,0,True,1,156,VIRGEN#0156
0x9209**202591**de8c33,0x920920259145087f1e8a9e74ce5afc8b2cde8c33,30000.0,VIRGEN,134777.43,4.5,2025-05-28 17:09,1,0,True,1,157,VIRGEN#0157
0xb360**077c7d**978d11,0xb360077c7dd73f5cc0d0ba85caa3cb071d978d11,29399.2513,VIRGEN,31296.93,1.1,2025-06-01 03:26,2,0,True,2,158,VIRGEN#0158
0x6b78**7959d8**83d935,0x6b787959d808a542213edcbfce5424433b83d935,29189.0517,OG,165831.99,5.7,2025-05-27 12:38,1,0,True,1,159,VIRGEN#0159
0x1218**b589c4**8bd77b,0x1218b589c4fa53436e1a56d48f8188a6188bd77b,28924.2273,VIRGEN,32119.62,1.1,2025-06-01 02:20,1,0,True,1,160,VIRGEN#0160
0xa969**b79d4f**3a7716,0xa969b79d4f066f2ea1a335312933f89b6e3a7716,28599.6097,OG,157790.07,5.5,2025-05-27 16:34,1,0,True,1,161,VIRGEN#0161
0xe1b1**c3b540**a18030,0xe1b1c3b540cd533a803e1c5abf916fd88fa18030,28020.1921,VIRGEN,120387.26,4.3,2025-05-28 21:52,1,0,True,1,162,VIRGEN#0162
0x5ea6**66cbdf**f7e9ab,0x5ea666cbdfa43105ad48c53ff9b5ba93e0f7e9ab,27832.3827,VIRGEN,116379.63,4.2,2025-05-29 00:37,1,0,True,1,163,VIRGEN#0163
0xfb5c**8ad706**1ae476,0xfb5c8ad70670283021b942f29f9bc1e3bc1ae476,27429.4548,Jeeted,141933.14,5.2,2025-05-28 00:47,1,3,False,4,164,VIRGEN#0164
0x80a9**5bce81**d4c9ee,0x80a95bce81db5c8b2094bf350c4a63f885d4c9ee,26516.8898,OG,129030.76,4.9,2025-05-28 08:12,1,0,True,1,165,VIRGEN#0165
0xfd95**ec10ad**513d57,0xfd95ec10addea29b3a8ada4bb26f3bb9b5513d57,26230.2753,VIRGEN,76210.79,2.9,2025-05-30 07:15,4,0,True,4,166,VIRGEN#0166
0xdc7e**59c19b**b8a340,0xdc7e59c19b81f8aee2c06df7652f26e98eb8a340,25711.3355,OG,131891.71,5.1,2025-05-28 01:52,1,0,True,1,167,VIRGEN#0167
0x8c64**3ad8d9**39af3e,0x8c643ad8d9477f1f03814f5bdd558f883439af3e,25483.4547,OG,145952.65,5.7,2025-05-27 11:31,1,0,True,1,168,VIRGEN#0168
0xb326**a5f8b1**6e3a0b,0xb326a5f8b19a8737bb015f827afe0a2b2a6e3a0b,25265.9282,OG,131863.87,5.2,2025-05-27 23:43,1,0,True,1,169,VIRGEN#0169
0x4698**d3f8da**b2ba01,0x4698d3f8da6b0a6f2d9042056b317018c6b2ba01,25000.2242,OG,136283.92,5.5,2025-05-27 18:09,1,0,True,1,170,VIRGEN#0170
0x8f43**6997de**030cad,0x8f436997de7ca11ef758c2e3076e6cb59a030cad,24749.0163,Jeeted,140533.45,5.7,2025-05-27 12:42,1,1,False,2,171,VIRGEN#0171
0x2c25**20452c**97165f,0x2c2520452cd5a3bf10eecd496c40a9f1a397165f,24600.3771,OG,132360.56,5.4,2025-05-27 19:51,1,0,True,1,172,VIRGEN#0172
0xc765**138df5**5a06d5,0xc765138df5539653d850df1a80894825b95a06d5,24312.9219,OG,128921.24,5.3,2025-05-27 21:43,1,0,True,1,173,VIRGEN#0173
0x3e6a**1ba94b**54b38b,0x3e6a1ba94bda97163d78685a23a57af61854b38b,24260.2756,OG,129207.03,5.3,2025-05-27 21:09,1,0,True,1,174,VIRGEN#0174
0x2932**4412f4**1003c5,0x29324412f46e3d8d5c1b2924c8f650d54c1003c5,24160.7201,OG,128904.43,5.3,2025-05-27 20:56,1,0,True,1,175,VIRGEN#0175
0x2bff**bab2c6**55e0ab,0x2bffbab2c65cce006198409431d18c1bba55e0ab,23956.7087,OG,120955.59,5.0,2025-05-28 03:48,1,0,True,1,176,VIRGEN#0176
0x3a6b**fe2b87**0b74b0,0x3a6bfe2b87b4b7d8ec76142d0ada23fce10b74b0,23872.2255,OG,119564.76,5.0,2025-05-28 04:46,1,0,True,1,177,VIRGEN#0177
0xae2b**c10642**541eca,0xae2bc10642005a5c42b689598050f20419541eca,23866.2419,OG,130003.34,5.4,2025-05-27 18:15,1,0,True,1,178,VIRGEN#0178
0x5e06**74983a**26c027,0x5e0674983aa5bcb6ee5e4d4b96cbfdded826c027,23547.318,VIRGEN,110075.26,4.7,2025-05-28 12:47,1,0,True,1,179,VIRGEN#0179
0xfa65**d2e9a3**d89887,0xfa65d2e9a34afd354a0288e8cb84e4d081d89887,23309.1139,OG,129705.24,5.6,2025-05-27 15:26,1,0,True,1,180,VIRGEN#0180
0x1ad3**e11620**51b6bf,0x1ad3e1162064e49f40817661ab93b9487851b6bf,23248.9259,OG,131659.69,5.7,2025-05-27 13:04,1,0,True,1,181,VIRGEN#0181
0x5996**588443**2583cd,0x5996588443fd7c8a5b8fb326fbe2879eba2583cd,23193.9473,OG,130750.78,5.6,2025-05-27 13:41,1,0,True,1,182,VIRGEN#0182
0x7e2e**740ec5**fe03f3,0x7e2e740ec5811236a4de666a310674215afe03f3,23131.6654,OG,114022.24,4.9,2025-05-28 06:40,1,0,True,1,183,VIRGEN#0183
0x25e7**e5370a**9c992b,0x25e7e5370a0fa5f479e9848968b07406cd9c992b,23109.0542,VIRGEN,100208.51,4.3,2025-05-28 20:54,1,0,True,1,184,VIRGEN#0184
0x187c**afa63b**ddcd12,0x187cafa63bdbc7e6599a55c0ad544f7c91ddcd12,22522.7611,OG,125291.98,5.6,2025-05-27 15:28,1,0,True,1,185,VIRGEN#0185
0x8030**64f978**7202f0,0x803064f97807a8da795a4fbc4afc02c75c7202f0,22341.1511,VIRGEN,73443.69,3.3,2025-05-29 22:05,1,0,True,1,186,VIRGEN#0186
0x5864**2dde25**375a70,0x58642dde254d8439edb96aa6d1c581b62e375a70,21822.9028,OG,126262.42,5.8,2025-05-27 10:07,1,0,True,1,187,VIRGEN#0187
